table,schema,privacy_classes,source_kind,retention_class,on_account_deletion,replay_dependency,immutable,rls_enforced,exportable,notes
ai.ai_conversation,ai,USER_FREE_TEXT,SOURCE,WHILE_ACCOUNT_ACTIVE,CASCADE_DELETE,false,false,true,true,`title` is derived from the first question.
ai.ai_message,ai,USER_FREE_TEXT DERIVED_TAX_RESULT,SOURCE,WHILE_ACCOUNT_ACTIVE,CASCADE_DELETE,false,false,true,true,Both sides of the conversation: the user's question verbatim and the generated answer. NO RLS. See defect PD-1.
ai.ai_message_citation,ai,PSEUDONYMOUS_IDENTIFIER,DERIVED,WHILE_ACCOUNT_ACTIVE,CASCADE_DELETE,false,false,true,false,"Links a message to rule versions and to an analysis. Its FK to `analysis.analysis_run` is NO ACTION and will BLOCK deletion of an analysis — see the dependency graph, §23."
ai.ai_prompt_context,ai,DERIVED_TAX_RESULT FINANCIAL_SOURCE_DATA,DERIVED,SHORT_OPERATIONAL,CASCADE_DELETE,false,false,true,false,"JSONB holding the verified figures that were put in front of the model — taxable income, tax, savings, marginal rate. A debugging artifact holding financial data with NO RLS. See PD-1; a strong candidate for the shortest retention in the system."
analysis.analysis_assumption,analysis,DERIVED_TAX_INPUT USER_FREE_TEXT,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,false,Free-text `text` column inside sealed evidence. NO RLS.
analysis.analysis_input_snapshot,analysis,DERIVED_TAX_INPUT FINANCIAL_SOURCE_DATA SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CUSTOM_WORKFLOW,true,true,true,false,"THE frozen snapshot: 27 engine inputs plus its hash. Contains no identifier and no free text (§10), but every financial figure. Erasing it makes replay impossible — see §40. NO RLS: defect PD-1, and the highest-value row in that finding."
analysis.analysis_line_item,analysis,DERIVED_TAX_RESULT,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,false,true,true,Computed amounts with display labels. NO RLS. See PD-1.
analysis.analysis_run,analysis,DERIVED_TAX_RESULT,SEALED_DERIVED,TAX_YEAR_RETENTION,CUSTOM_WORKFLOW,true,false,true,true,
analysis.reconciliation_check,analysis,DERIVED_TAX_RESULT,DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,false,"`detail` is free text produced by the system, not the user."
audit.audit_log,audit,AUDIT_SECURITY_RECORD PSEUDONYMOUS_IDENTIFIER,AUDIT,BOUNDED_AUDIT,DE_IDENTIFY,false,true,false,false,"Append-only, partitioned by month, NO foreign key to the account. Not reachable by cascade, so DE_IDENTIFY must be driven by the composite ownership key (PD-15): actor_id, the payload's user_id, and — on user_account rows — the payload's id. Registration and login run anonymously, so actor_id alone misses the account and credential rows. Payload VALUES are minimized at write time by audit.log_change (PD-4); rows written before migration 0048 need scripts/audit_payload_scan.py."
audit.audit_log_2025m01,audit,AUDIT_SECURITY_RECORD PSEUDONYMOUS_IDENTIFIER,AUDIT,BOUNDED_AUDIT,DE_IDENTIFY,false,true,false,false,"Append-only, partitioned by month, NO foreign key to the account. Not reachable by cascade, so DE_IDENTIFY must be driven by the composite ownership key (PD-15): actor_id, the payload's user_id, and — on user_account rows — the payload's id. Registration and login run anonymously, so actor_id alone misses the account and credential rows. Payload VALUES are minimized at write time by audit.log_change (PD-4); rows written before migration 0048 need scripts/audit_payload_scan.py."
audit.audit_log_2025m02,audit,AUDIT_SECURITY_RECORD PSEUDONYMOUS_IDENTIFIER,AUDIT,BOUNDED_AUDIT,DE_IDENTIFY,false,true,false,false,"Append-only, partitioned by month, NO foreign key to the account. Not reachable by cascade, so DE_IDENTIFY must be driven by the composite ownership key (PD-15): actor_id, the payload's user_id, and — on user_account rows — the payload's id. Registration and login run anonymously, so actor_id alone misses the account and credential rows. Payload VALUES are minimized at write time by audit.log_change (PD-4); rows written before migration 0048 need scripts/audit_payload_scan.py."
audit.audit_log_default,audit,AUDIT_SECURITY_RECORD PSEUDONYMOUS_IDENTIFIER,AUDIT,BOUNDED_AUDIT,DE_IDENTIFY,false,true,false,false,"Append-only, partitioned by month, NO foreign key to the account. Not reachable by cascade, so DE_IDENTIFY must be driven by the composite ownership key (PD-15): actor_id, the payload's user_id, and — on user_account rows — the payload's id. Registration and login run anonymously, so actor_id alone misses the account and credential rows. Payload VALUES are minimized at write time by audit.log_change (PD-4); rows written before migration 0048 need scripts/audit_payload_scan.py."
audit.consent_log,audit,AUDIT_SECURITY_RECORD,AUDIT,BOUNDED_AUDIT,DE_IDENTIFY,false,false,false,false,Evidence of consent. Erasing it destroys the proof that consent was given — LEGAL_REVIEW_REQUIRED.
audit.data_deletion_request,audit,AUDIT_SECURITY_RECORD USER_FREE_TEXT,AUDIT,BOUNDED_AUDIT,RETAIN,false,false,false,false,"EXISTS AND IS UNUSED — no service, no endpoint. This is the natural home for the Entry 11B deletion ledger. Its FK to the user is CASCADE, which is wrong for a record that must OUTLIVE the account it describes: see §30 and §48."
audit.data_export_request,audit,AUDIT_SECURITY_RECORD,AUDIT,BOUNDED_AUDIT,RETAIN,false,false,false,false,EXISTS AND IS UNUSED. Same CASCADE problem as the deletion request table.
audit.security_event,audit,AUDIT_SECURITY_RECORD,AUDIT,BOUNDED_AUDIT,DE_IDENTIFY,false,false,false,false,FK already SET NULL. `detail` is JSONB and unvalidated — it can carry anything a caller put in it. NO RLS.
billing.entitlement,billing,ACCOUNT_IDENTITY,DERIVED,WHILE_ACCOUNT_ACTIVE,CASCADE_DELETE,false,false,true,false,
billing.invoice,billing,FINANCIAL_SOURCE_DATA PSEUDONYMOUS_IDENTIFIER,AUDIT,RETAINED_PENDING_REVIEW,RETAIN,false,false,true,true,Amounts and a provider invoice id. NO RLS. Almost certainly subject to a statutory retention period — LEGAL_REVIEW_REQUIRED.
billing.payment_method_ref,billing,PSEUDONYMOUS_IDENTIFIER,SOURCE,WHILE_ACCOUNT_ACTIVE,CASCADE_DELETE,false,false,true,false,"A reference to a provider-held instrument, not card data. Deletion must also revoke it at the provider — EXTERNAL_PROVIDER_REVIEW_REQUIRED."
billing.subscription,billing,ACCOUNT_IDENTITY PSEUDONYMOUS_IDENTIFIER,SOURCE,RETAINED_PENDING_REVIEW,RETAIN,false,false,true,true,Provider identifiers. Financial-record retention is LEGAL_REVIEW_REQUIRED.
docs.document,docs,DOCUMENT_BINARY USER_FREE_TEXT PSEUDONYMOUS_IDENTIFIER,SOURCE,TAX_YEAR_RETENTION,CUSTOM_WORKFLOW,false,false,true,true,The row is metadata; the bytes are in object storage and are NOT removed by any database cascade. `object_key` embeds the user-supplied filename — see defect PD-2. `deleted_at` exists and is unused.
docs.document_extraction,docs,DOCUMENT_EXTRACTED_DATA,DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,false,NO RLS. See defect PD-1.
docs.document_link,docs,PSEUDONYMOUS_IDENTIFIER,DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,false,Provenance edge from a confirmed fact back to its document. Deleting a document must decide this edge's fate explicitly — an orphaned link claims evidence that no longer exists.
docs.extraction_field,docs,DOCUMENT_EXTRACTED_DATA FINANCIAL_SOURCE_DATA,DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,true,`value_number` carries amounts read off a tax slip; `bounding_box` locates them on the page. NO RLS — this is the most sensitive unprotected table. See defect PD-1.
finance.expense_record,finance,FINANCIAL_SOURCE_DATA USER_FREE_TEXT,SOURCE,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,true,`description` and `notes` are user free text.
finance.expense_record_default,finance,FINANCIAL_SOURCE_DATA USER_FREE_TEXT,SOURCE,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,true,`description` and `notes` are user free text.
finance.expense_record_y2024,finance,FINANCIAL_SOURCE_DATA USER_FREE_TEXT,SOURCE,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,true,`description` and `notes` are user free text.
finance.expense_record_y2025,finance,FINANCIAL_SOURCE_DATA USER_FREE_TEXT,SOURCE,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,true,`description` and `notes` are user free text.
finance.income_source,finance,FINANCIAL_SOURCE_DATA USER_FREE_TEXT,SOURCE,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,true,"`source_name` and `notes` are user free text; the amount is financial source data. Partitioned by tax year, so tax-year deletion is a partition-scoped operation."
finance.income_source_default,finance,FINANCIAL_SOURCE_DATA USER_FREE_TEXT,SOURCE,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,true,"`source_name` and `notes` are user free text; the amount is financial source data. Partitioned by tax year, so tax-year deletion is a partition-scoped operation."
finance.income_source_y2024,finance,FINANCIAL_SOURCE_DATA USER_FREE_TEXT,SOURCE,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,true,"`source_name` and `notes` are user free text; the amount is financial source data. Partitioned by tax year, so tax-year deletion is a partition-scoped operation."
finance.income_source_y2025,finance,FINANCIAL_SOURCE_DATA USER_FREE_TEXT,SOURCE,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,true,"`source_name` and `notes` are user free text; the amount is financial source data. Partitioned by tax year, so tax-year deletion is a partition-scoped operation."
identity.account_lifecycle,identity,ACCOUNT_IDENTITY AUDIT_SECURITY_RECORD,AUDIT,BOUNDED_AUDIT,RETAIN,false,false,true,true,"Entry 11B1. One row per account undergoing privacy deletion; the absence of a row means active. RETAIN on account deletion is the point — this row IS the deletion record, and a restored backup needs it to know what to re-delete. Carries no email, no financial value and no exception text: failure is a closed code."
identity.account_lifecycle_event,identity,AUDIT_SECURITY_RECORD PSEUDONYMOUS_IDENTIFIER,AUDIT,BOUNDED_AUDIT,RETAIN,false,false,true,false,"Append-only lifecycle transitions. Deliberately carries NO foreign key to the account, because it must outlive the account it describes — that is what makes the backup-restore invariant implementable. Closed event codes, states and worker ids only."
identity.auth_session,identity,AUTHENTICATION_SECURITY PSEUDONYMOUS_IDENTIFIER,OPERATIONAL,SHORT_OPERATIONAL,CASCADE_DELETE,false,false,false,false,"Refresh-token hashes and source addresses. Must be revoked at DELETION_REQUESTED, not merely deleted at the end."
identity.email_verification_token,identity,AUTHENTICATION_SECURITY,OPERATIONAL,SHORT_OPERATIONAL,CASCADE_DELETE,false,false,false,false,
identity.login_event,identity,AUDIT_SECURITY_RECORD DIRECT_IDENTIFIER PSEUDONYMOUS_IDENTIFIER,AUDIT,BOUNDED_AUDIT,DE_IDENTIFY,false,false,false,false,"FK already SET NULL on user delete — but `email_tried` and `ip_address` remain in the clear, so severing user_id alone does NOT de-identify it. See specification §25 and defect PD-3."
identity.mfa_method,identity,AUTHENTICATION_SECURITY USER_FREE_TEXT,SOURCE,WHILE_ACCOUNT_ACTIVE,CASCADE_DELETE,false,false,false,false,`label` is user free text and may name a device.
identity.password_reset_token,identity,AUTHENTICATION_SECURITY,OPERATIONAL,SHORT_OPERATIONAL,CASCADE_DELETE,false,false,false,false,
identity.user_account,identity,DIRECT_IDENTIFIER ACCOUNT_IDENTITY,SOURCE,WHILE_ACCOUNT_ACTIVE,CUSTOM_WORKFLOW,false,false,false,true,"Holds the email. The root of the deletion graph; 39 tables reference it. Deleting the row cascades most of the account, which is why deletion must be orchestrated rather than issued as one DELETE."
identity.user_credential,identity,AUTHENTICATION_SECURITY,SOURCE,WHILE_ACCOUNT_ACTIVE,CASCADE_DELETE,false,false,false,false,Argon2id hash. Never exported.
ioe.candidate_cost,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.candidate_economic_effect,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.confidence_component,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.freshness_outbox,ioe,OPERATIONAL_TELEMETRY PSEUDONYMOUS_IDENTIFIER,OPERATIONAL,SHORT_OPERATIONAL,CASCADE_DELETE,false,false,true,false,"Carries user_id and closed reason codes, never values."
ioe.integrity_check,ioe,AUDIT_SECURITY_RECORD PSEUDONYMOUS_IDENTIFIER,AUDIT,BOUNDED_AUDIT,DE_IDENTIFY,false,false,true,false,Replay-verification history. Survives de-identified so the platform can still show that verification ran; see §20 and §40 for what its status must become once evidence is erased.
ioe.multi_year_projection,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.optimization_candidate,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.optimization_run,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CUSTOM_WORKFLOW,true,true,true,true,
ioe.optimization_run_event,ioe,OPERATIONAL_TELEMETRY,AUDIT,BOUNDED_AUDIT,CASCADE_DELETE,false,false,true,false,Closed reason codes only.
ioe.portfolio_evaluation_step,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.portfolio_exclusion,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.portfolio_member,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.recommendation_relationship,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.resource_ledger_entry,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.run_rule_snapshot,ioe,PSEUDONYMOUS_IDENTIFIER,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,false,true,false,Join from a run to the shared rule snapshot. Carries no personal data but links a user's run to a version manifest. NO RLS.
ioe.run_rule_version,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.scenario,ioe,DERIVED_TAX_RESULT USER_FREE_TEXT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CUSTOM_WORKFLOW,true,false,true,true,`label` and `note` are user free text on an otherwise sealed row.
ioe.scenario_assumption,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.scenario_confidence_component,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.scenario_event,ioe,OPERATIONAL_TELEMETRY,AUDIT,BOUNDED_AUDIT,CASCADE_DELETE,false,false,true,false,
ioe.scenario_input_change,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.scenario_lever,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.scenario_result,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.score_component,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
ioe.strategy_portfolio,ioe,DERIVED_TAX_RESULT SEALED_EVIDENCE,SEALED_DERIVED,TAX_YEAR_RETENTION,CASCADE_DELETE,true,true,true,false,Sealed optimization/scenario evidence child. RLS present (Entry 3B) — the pattern the analysis/docs/wealth children should follow.
profile.dependent,profile,TAX_PROFILE_DATA USER_FREE_TEXT,SOURCE,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,true,"Third-party data, frequently about children."
profile.spouse_profile,profile,TAX_PROFILE_DATA FINANCIAL_SOURCE_DATA,SOURCE,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,true,Third-party data: describes someone who is not the account holder and cannot consent through this account.
profile.tax_profile,profile,TAX_PROFILE_DATA USER_FREE_TEXT,SOURCE,TAX_YEAR_RETENTION,CASCADE_DELETE,false,false,true,true,`employer_name` is user free text and an employment identifier. NOT present in the frozen snapshot — see §10.
profile.user_preference,profile,ACCOUNT_IDENTITY,SOURCE,WHILE_ACCOUNT_ACTIVE,CASCADE_DELETE,false,false,true,true,
profile.user_privacy_setting,profile,ACCOUNT_IDENTITY AUDIT_SECURITY_RECORD,SOURCE,BOUNDED_AUDIT,DE_IDENTIFY,false,false,true,true,A record of consent choices. Deleting it destroys the evidence of what the user consented to — LEGAL_REVIEW_REQUIRED.
